No.,Exhibitor Name (KOR),Exhibitor Name (ENG),Country,Hall,Show Name,Exhibit Item (KOR),Exhibit Item (ENG),Category,DESCRIPTION,TEXT_FOR_KEYBERT,KEYWORDS
78,"Jiangxi Wannianxin Micro-Electronics Co.,Ltd","Jiangxi Wannianxin Micro-Electronics Co.,Ltd",China,C3.754 ,InterBattery Europe,,"UPS Energy Storage Power Supply, All-in-One residential Energy Storage Power Supply, Pure Sine Wave Solar Inverter","Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","UPS Energy Storage Power Supply, All-in-One residential Energy Storage Power Supply, Pure Sine Wave Solar Inverter Secondary Batteries, Materials & Components","ups, batteries, inverter, storage, components"
79,"Hubei XYC New Energy CO.,LTD.","Hubei XYC New Energy CO.,LTD.",China,C3.760 ,InterBattery Europe,,"Lithium battery, Commerical Energy-storage, Home Energy-storage",Secondary Batteries,This company specializes in Secondary Batteries.,"Lithium battery, Commerical Energy-storage, Home Energy-storage Secondary Batteries","batteries, lithium, battery, storage, energy"
80,"HUANGHUA GUNTER HARDWARE CO., LTD","HUANGHUA GUNTER HARDWARE CO., LTD",China,C3.778,InterBattery Europe,,portable power station,"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","portable power station Secondary Batteries, Materials & Components","batteries, portable, secondary, materials, station"
81,"CHONGQING LIHONG FINE CHEMICALS CO., LTD.","CHONGQING LIHONG FINE CHEMICALS CO., LTD.",China,C3.755 ,InterBattery Europe,,Sodium Carboxy Methyl Cellulose (CMC),Materials & Components,This company specializes in Materials & Components.,Sodium Carboxy Methyl Cellulose (CMC) Materials & Components,"cellulose, materials, sodium, cmc, carboxy"
82,"Shenzhen Swalle Technology Co.,Ltd.","Shenzhen Swalle Technology Co.,Ltd.",China,C3.757 ,InterBattery Europe,,"LifePO4 battery, Portbable power station, Home energy storage system",Secondary Batteries,This company specializes in Secondary Batteries.,"LifePO4 battery, Portbable power station, Home energy storage system Secondary Batteries","lifepo4, batteries, battery, storage, station"
83,"China ZBB group Shanghai transformer Co., Ltd.","China ZBB group Shanghai transformer Co., Ltd.",China,C3.668,InterBattery Europe,,Power Transformer,Secondary Batteries,This company specializes in Secondary Batteries.,Power Transformer Secondary Batteries,"transformer, batteries, secondary, power"
84,"SHENZHEN BLUESEA INTELLIGENT MANUFACTURING TECHNOLOGY.CO.,LTD.","SHENZHEN BLUESEA INTELLIGENT MANUFACTURING TECHNOLOGY.CO.,LTD.",China,C3.674,InterBattery Europe,,Energy Storage battery/lithium battery Moudle Pack Automatic Assembly Line,"Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","Energy Storage battery/lithium battery Moudle Pack Automatic Assembly Line Secondary Batteries, Manufacturing Equipment","batteries, battery, lithium, equipment, pack"
85,"ShenZhen Friend Mechanical and Electrical Technology Co., Ltd","ShenZhen Friend Mechanical and Electrical Technology Co., Ltd",China,C3.670 ,InterBattery Europe,,"heatsink,cooling plate,heat exchanger,air conditioner",Materials & Components,This company specializes in Materials & Components.,"heatsink,cooling plate,heat exchanger,air conditioner Materials & Components","heatsink, cooling, components, materials, heat"
86,"Xiamen Taohong Technology Co., Ltd","Xiamen Taohong Technology Co., Ltd",China,C3.672 ,InterBattery Europe,,"Solar Sunflower, Solor Mouting Brackets",Secondary Batteries,This company specializes in Secondary Batteries.,"Solar Sunflower, Solor Mouting Brackets Secondary Batteries","sunflower, solar, batteries, brackets, solor"
87,LOVSUN TEK CO.LTD,LOVSUN TEK CO.LTD,China,C3.676,InterBattery Europe,,"Solar battery, energy storage system",Secondary Batteries,This company specializes in Secondary Batteries.,"Solar battery, energy storage system Secondary Batteries","batteries, solar, battery, secondary, storage"
88,Sysai Global Venture Ltd,Sysai Global Venture Ltd,China,C3.678 ,InterBattery Europe,,Battery and solar panels for home usage,Secondary Batteries,This company specializes in Secondary Batteries.,Battery and solar panels for home usage Secondary Batteries,"batteries, battery, panels, solar, secondary"
89,"LUAN GREENERGY REFRACTORY AND INSULATION MATERIAL CO., LTD","LUAN GREENERGY REFRACTORY AND INSULATION MATERIAL CO., LTD",China,C3.680 ,InterBattery Europe,,Insulation Materials,"Inspection & Measurement Equipment, Materials & Components","This company specializes in Inspection & Measurement Equipment, Materials & Components.","Insulation Materials Inspection & Measurement Equipment, Materials & Components","insulation, inspection, equipment, materials, components"
90,"Anhui Lvwo Energy Technology Co., Ltd.","Anhui Lvwo Energy Technology Co., Ltd.",China,C3.771,InterBattery Europe,,"12V lithium battery, household energy storage, industrial and commercial energy storage",Secondary Batteries,This company specializes in Secondary Batteries.,"12V lithium battery, household energy storage, industrial and commercial energy storage Secondary Batteries","batteries, battery, lithium, 12v, storage"
91,"Anhui Hanxing Energy Co., Ltd.","Anhui Hanxing Energy Co., Ltd.",China,C3.773 ,InterBattery Europe,,"PCS, battery, BMS, EMS, thermal management, power distribution and fire protection","Secondary Batteries, Materials & Components, Manufacturing Equipment","This company specializes in Secondary Batteries, Materials & Components, Manufacturing Equipment.","PCS, battery, BMS, EMS, thermal management, power distribution and fire protection Secondary Batteries, Materials & Components, Manufacturing Equipment","equipment, batteries, ems, bms, components"
92,"Anhui Jixingyuan Technology Co., Ltd","Anhui Jixingyuan Technology Co., Ltd",China,C3.777 ,InterBattery Europe,,"Precision coating equipment for cadmium chloride in thin-film photovoltaics, precision roll coating and UV curing equipment for photoresist, AR coating equipment for photovoltaic glass","Inspection & Measurement Equipment, Materials & Components, Manufacturing Equipment","This company specializes in Inspection & Measurement Equipment, Materials & Components, Manufacturing Equipment.","Precision coating equipment for cadmium chloride in thin-film photovoltaics, precision roll coating and UV curing equipment for photoresist, AR coating equipment for photovoltaic glass Inspection & Measurement Equipment, Materials & Components, Manufacturing Equipment","cadmium, photovoltaics, photovoltaic, coating, chloride"
93,"Jiangsu Weijinmai Tech. Co., Ltd.","Jiangsu Weijinmai Tech. Co., Ltd.",China,C3.779 ,InterBattery Europe,,nickel-plated strip steel for new energy battery cases,Secondary Batteries,This company specializes in Secondary Batteries.,nickel-plated strip steel for new energy battery cases Secondary Batteries,"nickel, batteries, battery, steel, plated"
94,"Sky Star Advanced Materials Technology (Suzhou) Co., Ltd.","Sky Star Advanced Materials Technology (Suzhou) Co., Ltd.",China,C3.320,InterBattery Europe,,"Sandbox，Pneumatic conveying equipment, Flow cell, Optical machine,10-station filling system.",Manufacturing Equipment,This company specializes in Manufacturing Equipment.,"Sandbox，Pneumatic conveying equipment, Flow cell, Optical machine,10-station filling system. Manufacturing Equipment","equipment, pneumatic, sandbox, manufacturing, machine"
95,"Xiamen Egret Solar New Energy Technology Co.,Ltd","Xiamen Egret Solar New Energy Technology Co.,Ltd",China,C3.785 ,InterBattery Europe,,Solar mounting products,"Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","Solar mounting products Secondary Batteries, Manufacturing Equipment","batteries, solar, equipment, mounting, manufacturing"
96,Neware Technology Limited,Neware Technology Limited,China,C3.734,InterBattery Europe,,"battery testing system, environmental chamber, etc.","Inspection & Measurement Equipment, Materials & Components","This company specializes in Inspection & Measurement Equipment, Materials & Components.","battery testing system, environmental chamber, etc. Inspection & Measurement Equipment, Materials & Components","inspection, equipment, chamber, testing, battery"
97,Albat doo Sarajevo,Albat doo Sarajevo,Bosnia and Herzegovina,B0.136 ,ees Europe ,,Lead-based batteries | Lithium-based batteries | BatteryChargers | Stationary energy storage for utilities and gridoperators | Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications | DCcharging systems,Secondary Batteries,This company specializes in Secondary Batteries.,Lead-based batteries | Lithium-based batteries | BatteryChargers | Stationary energy storage for utilities and gridoperators | Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications | DCcharging systems Secondary Batteries,"batterychargers, batteries, ups, energystorage, utilities"
98,AKKU SYS Akkumulator- und Batterietechnik NordGmbH,AKKU SYS Akkumulator- und Batterietechnik NordGmbH,Germany,B1.440 ,ees Europe ,,Materials and components | Lithium-based batteries | ACcharging systems | Home energy management solutions(HEMS),"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Materials and components | Lithium-based batteries | ACcharging systems | Home energy management solutions(HEMS) Secondary Batteries, Materials & Components","batteries, lithium, hems, materials, systems"
99,Alpha ESS Europe GmbH,Alpha ESS Europe GmbH,Germany,B1.150 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications | AC chargingsystems | Energy management, monitoring, controlling and loadmanagement | Flexibility management (loadmanagement/demand response) | Research and development",Secondary Batteries,This company specializes in Secondary Batteries.,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications | AC chargingsystems | Energy management, monitoring, controlling and loadmanagement | Flexibility management (loadmanagement/demand response) | Research and development Secondary Batteries","batteries, ups, chargingsystems, utilitiesand, lithium"
100,"Anker Technology (UK) Co., Ltd.","Anker Technology (UK) Co., Ltd.",United Kingdom,B1.571,ees Europe ,,Other energy storage technologies | Stationary energy storagefor residential buildings,"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Other energy storage technologies | Stationary energy storagefor residential buildings Secondary Batteries, Materials & Components","batteries, storage, energy, residential, storagefor"
101,Bachmann electronic GmbH,Bachmann electronic GmbH,Austria,B1.119 ,ees Europe ,,"Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications | Products and services for microgrids | Productsand services for smart grids | Combined heat, (cooling) andpower systems",Secondary Batteries,This company specializes in Secondary Batteries.,"Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications | Products and services for microgrids | Productsand services for smart grids | Combined heat, (cooling) andpower systems Secondary Batteries","microgrids, utilities, stationary, batteries, storage"
102,BASF Stationary Energy Storage GmbH,BASF Stationary Energy Storage GmbH,Germany,B1.309,ees Europe ,,Other battery technologies,Secondary Batteries,This company specializes in Secondary Batteries.,Other battery technologies Secondary Batteries,"batteries, battery, secondary, technologies, other"
103,"Beijing Energy Connecting International ExhibitionCo., Ltd.","Beijing Energy Connecting International ExhibitionCo., Ltd.",China,B1.151 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications",Secondary Batteries,This company specializes in Secondary Batteries.,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications Secondary Batteries","energystorage, stationaryenergy, batteries, lithium, storage"
104,"Beijing HyperStrong Technology Co., Ltd.","Beijing HyperStrong Technology Co., Ltd.",China,B1.519 ,ees Europe ,,"EPC contracting/project development for energy storagesystems | Stationary energy storage for utilities and gridoperators | Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings | Stationary energy storage forcommercial and industrial applications",Secondary Batteries,This company specializes in Secondary Batteries.,"EPC contracting/project development for energy storagesystems | Stationary energy storage for utilities and gridoperators | Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings | Stationary energy storage forcommercial and industrial applications Secondary Batteries","epc, storagesystems, utilities, storage, batteries"
