No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
363,"Sunwoda Energy Technology Co., Ltd.","Sunwoda Energy Technology Co., Ltd. ",China,C2.440 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
364,"SVOLT Energy Technology Co., Ltd.","SVOLT Energy Technology Co., Ltd.",China,C2.330,ees Europe ,,Lithium-based batteries | Manufacturing equipment for batterymodule production/assembly and system installation/assembly| Manufacturing equipment for battery cell production |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
365,TAB D.D.,TAB D.D.,Slovenia,C2.111 ,ees Europe ,,Lead-based batteries | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for residential buildings | Uninterruptible powersupply systems (UPS) | Stationary energy storage forcommercial and industrial applications
366,"Tcsn Power Technology (Shenzhen) Co.,Ltd ","Tcsn Power Technology (Shenzhen) Co.,Ltd ",China ,C2.677 ,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings | Uninterruptible power supply systems(UPS) | Stationary energy storage for commercial and industrialapplications | Traction battery and infrastructure
367,"Teplore Co., Ltd.","Teplore Co., Ltd. ",China ,C2.455 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
368,Tesla Germany GmbH ,Tesla Germany GmbH ,Germany,C2.231 ,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
369,Topband Germany GmbH ,Topband Germany GmbH,Germany,C2.320,ees Europe ,,Fuel cells | Lithium-based batteries | Power electronics forstorage systems | Stationary energy storage for utilities and gridoperators | Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
370,VESTEL ,VESTEL,Turkiye ,C2.170 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications | ACcharging systems | DC charging systems
371,Xiamen Ampace Technology Limited ,Xiamen Ampace Technology Limited,China ,C2.430 ,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings | Uninterruptible power supply systems(UPS) | Stationary energy storage for commercial and industrialapplications
372,"Xiamen Hithium Energy StorageTechnology Co,Ltd ","Xiamen Hithium Energy StorageTechnology Co,Ltd ",China ,C2.510 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications
373,XING MOBILITY INC.,XING MOBILITY INC.,Taiwan,C2.270 ,ees Europe ,,Lithium-based batteries | Other energy storage technologies |Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
374,"Zhejiang Chisage New Energy Tech. Co., Ltd.","Zhejiang Chisage New Energy Tech. Co., Ltd.",China ,C2.680 ,ees Europe ,,Inverters | Lithium-based batteries
375,"Zhejiang Lisiner Industrial Development Co.,Ltd. ","Zhejiang Lisiner Industrial Development Co.,Ltd.",China ,C2.356 ,ees Europe ,,"Power electronics for storage systems | Stationary energystorage for residential buildings | ICT, software for energystorage systems | Stationary energy storage for commercial andindustrial applications"
376,"Zhejiang Narada Power Source Co., Ltd ","Zhejiang Narada Power Source Co., Ltd ",China ,C2.520 ,ees Europe ,,Lithium-based batteries | Battery recycling/second use |Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
377,"Zhejiang Wolong Energy Storage System Co., Ltd. ","Zhejiang Wolong Energy Storage System Co., Ltd.",China ,C2.674 ,ees Europe ,,Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
378,"Zhuhai Gecen Technology Co., Ltd.","Zhuhai Gecen Technology Co., Ltd. ",China ,C2.276 ,ees Europe ,,Lithium-based batteries
379,ZPUE S.A. ,ZPUE S.A.,Poland ,C2.410 ,ees Europe ,,Power electronics for storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications
380,ZYC Energy Company Limited ,ZYC Energy Company Limited ,China,C2.119 ,ees Europe ,,Lithium-based batteries
381,"AC NEWENERGY (Hunan) Co., Ltd ","AC NEWENERGY (Hunan) Co., Ltd",China,C3.139 ,ees Europe ,,Power electronics for storage systems | EPCcontracting/project development for energy storage systems |Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
382,"Beijing Energy Connecting International ExhibitionCo., Ltd.","Beijing Energy Connecting International ExhibitionCo., Ltd.",China,C3.250 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications"
383,"Beijing Goldwind Carbon Neutral Energy Co.,Ltd. ","Beijing Goldwind Carbon Neutral Energy Co.,Ltd. ",China,C3.230 ,ees Europe ,,"Stationary energy storage for utilities and grid operators | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications"
384,Beyond Technology Limited ,Beyond Technology Limited ,China,C3.135,ees Europe ,,Small solar devices | Inverters | Lithium-based batteries |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS)
385,CALB GmbH ,CALB GmbH ,Germany,C3.210,ees Europe ,,Other battery technologies | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications
386,"CF Energy Co., Ltd. ","CF Energy Co., Ltd. ",China ,C3.177 ,ees Europe ,,"Other battery technologies | Lithium-based batteries | Batterytesting, inspection systems, safety | Battery managementsystems | Battery Materials"
387,"CIEC Haihua International Exhibition Co., Ltd","CIEC Haihua International Exhibition Co., Ltd",China ,C3.151,ees Europe ,,"Lithium-based batteries | Battery Materials | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications | Hydrogen storage,infrastructure, components"
388,"Dongguan Lithium Valley Energy Co., Ltd.","Dongguan Lithium Valley Energy Co., Ltd. ",China ,C3.179 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications | EPCcontracting/project development for charging infrastructure |Solar mobility and charging solutions as well as vehicleintegratedPV (ViPV)
389,"Dongguan ZWAYN New Energy Co., Ltd.","Dongguan ZWAYN New Energy Co., Ltd.",China ,C3.373 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
390,Elite Solar Power Hongkong Limited (EcoFlare),Elite Solar Power Hongkong Limited (EcoFlare),China ,C3.220 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
391,"Enerlution Energy Technology Co., Ltd. ","Enerlution Energy Technology Co., Ltd.",China ,C3.251 ,ees Europe ,,"Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications | Home energymanagement solutions (HEMS) | Energy management,monitoring, controlling and load management | Smart energymanagement systems for buildings and districts"
392,Enershare Tech Company Limited ,Enershare Tech Company Limited,China ,C3.131 ,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
393,Entrade S.R.L. ,Entrade S.R.L. ,Italy,C3.240 ,ees Europe ,,Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications
394,"EP Equipment Co., Ltd.","EP Equipment Co., Ltd.",China,C3.175 ,ees Europe ,,Lithium-based batteries | Battery Chargers | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications | Mobilecharging system with buffer storage (e.g. trailers)
395,"Guangdong Basen Green New Energy Co.,Ltd","Guangdong Basen Green New Energy Co.,Ltd ",China,C3.154 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
396,"Hunan Wincle Energy Storage Technology Co.,Ltd.","Hunan Wincle Energy Storage Technology Co.,Ltd.",China,C3.451 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications"
397,Hynn Technology Europe GmbH ,Hynn Technology Europe GmbH,Germany,C3.471 ,ees Europe ,,"Battery testing, inspection systems, safety | Batterymanagement systems | Manufacturing equipment for batterymodule production/assembly and system installation/assembly| Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications"
398,"Jiangsu Essis New Energy Technology Co., Ltd","Jiangsu Essis New Energy Technology Co., Ltd ",China,C3.275 ,ees Europe ,,Lithium-based batteries | Battery management systems
399,JIANGSU GXY NEW ENERGY CO LTD,JIANGSU GXY NEW ENERGY CO LTD ,China,C3.255 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
400,"Jiangsu Highstar Battery Manufacturing Co.,Ltd","Jiangsu Highstar Battery Manufacturing Co.,Ltd.",China,C3.375 ,ees Europe ,,Other battery technologies | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Uninterruptiblepower supply systems (UPS) | Stationary energy storage forcommercial and industrial applications
401,"Jiangsu Megalion Energy Storage IntegrationTechnology Co., Ltd","Jiangsu Megalion Energy Storage IntegrationTechnology Co., Ltd ",China,C3.234 ,ees Europe ,,Inverters | Lithium-based batteries | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications
402,"LONCIN MOTOR CO.,LTD.","LONCIN MOTOR CO.,LTD. ",China,C3.279 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
403,MaxLi ,MaxLi,China,C3.280 ,ees Europe ,,Lithium-based batteries
404,Menred GmbH ,Menred GmbH ,Germany ,C3.137 ,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS)
405,Multi Source Power,Multi Source Power ,United Kingdom,C3.170 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
406,NGEN d.o.o.,NGEN d.o.o. ,Slovenia,C3.319 ,ees Europe ,,"Lithium -based batteries | Battery m anagem ent system s | ACcharging system s | Electricity trading and m arketing tools(power supply, distribution via direct and flexibility m arkets) |Grid m anagem ent technologies and services, grid system services, grid Monitoring | Virtual power plants/combined powerplants | Products and services for sm art grids | Weather andperform ance/Yield forecasts & grid integration of renewableenergy system s | Hom e energy m anagem ent solutions (HEMS) |Energy m anagem ent, monitoring, controlling and loadm anagem ent | Flexibility m anagem ent (loadm anagem ent/dem and response) | Research and developm ent |Engineering services | DER m anagem ent & system integration |Cybersecurity | Digitalisation, data m anagem ent & analytics, IoT| Sm art energy m anagem ent system s for buildings and districts"
407,"NR Electric CO., LTD. ","NR Electric CO., LTD. ",China ,C3.330 ,ees Europe ,,"Inverters | Power electronics for storage systems | Stationaryenergy storage for utilities and grid operators | ICT, software forenergy storage systems | Stationary energy storage forcommercial and industrial applications"
408,nVent,nVent,Romania ,C3.119 ,ees Europe ,,"Cooling/temperature management of storage systems |Charging cables, connector and cable routing systems,housings and other hardware | Products and services for smartgrids | Hydrogen storage, infrastructure, components | Contacts,wiring, insulation for batteries"
409,Oriental Smart Lion (Fujian) Energy StorageTechnology Co.Ltd ,Oriental Smart Lion (Fujian) Energy StorageTechnology Co.Ltd ,China ,C3.277 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
410,PowerHub Limited ,PowerHub Limited ,New Zealand ,C3.156 ,ees Europe ,,Lithium-based batteries | Automation technology for batteryproduction | Stationary energy storage for utilities and gridoperators | Stationary energy storage for residential buildings |Stationary energy storage for commercial and industrialapplications
411,"PowerLink Energy Tech (UK) Co., LTD.","PowerLink Energy Tech (UK) Co., LTD. ",United Kingdom,C3.334,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
412,"Poweroad Renewable Energy Co., Ltd.","Poweroad Renewable Energy Co., Ltd.",China ,C3.160,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
413,"Qingan Energy Storage Technology (Chongqing)Co., Ltd. ","Qingan Energy Storage Technology (Chongqing)Co., Ltd. ",China ,C3.150 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications | High power charger, megawattcharging systems | Energy management, monitoring, controllingand load management"
414,"Rept Battero Energy Co., Ltd.","Rept Battero Energy Co., Ltd. ",China ,C3.110 ,ees Europe ,,Lithium-based batteries | Battery management systems |Manufacturing equipment for battery moduleproduction/assembly and system installation/assembly |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
415,"Roche Energy Technology (Jiangsu) Co., Ltd. ","Roche Energy Technology (Jiangsu) Co., Ltd.",China ,C3.360 ,ees Europe ,,Battery management systems | Stationary energy storage forutilities and grid operators | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
416,"Shanghai Robestec Energy Co., Ltd. ","Shanghai Robestec Energy Co., Ltd. ",China ,C3.370 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
417,"Shenzhen Ace Battery Co.,Ltd.","Shenzhen Ace Battery Co.,Ltd.",China ,C3.180 ,ees Europe ,,Inverters | Battery Materials | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
418,"Shenzhen Biwatt Technology Co., Ltd.","Shenzhen Biwatt Technology Co., Ltd. ",China ,C3.335 ,ees Europe ,,Other battery technologies | Lithium-based batteries | Stationaryenergy storage for residential buildings | Uninterruptible powersupply systems (UPS)
419,Shenzhen FBTech Electronics Ltd ,Shenzhen FBTech Electronics Ltd ,China ,C3.356 ,ees Europe ,,Solar cells | Lithium-based batteries | Stationary energy storagefor utilities and grid operators | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
420,"Shenzhen GSL Energy Co., Ltd.","Shenzhen GSL Energy Co., Ltd.",China ,C3.475,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
421,"Shenzhen Hello Tech Energy Co., Ltd.","Shenzhen Hello Tech Energy Co., Ltd. ",China ,C3.340,ees Europe ,,"Lithium-based batteries | Energy Storage for low-capacitymobile applications (smartphones, laptops, tablets, etc.) |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications"
422,"Shenzhen Kerui Power Storage Co., LTD","Shenzhen Kerui Power Storage Co., LTD",China ,C3.158,ees Europe ,,"Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings"
423,"Shenzhen Kexin Communication TechnologiesCo.,Ltd ","Shenzhen Kexin Communication TechnologiesCo.,Ltd ",China ,C3.276 ,ees Europe ,,Inverters | Lithium-based batteries | Battery managementsystems | Stationary energy storage for residential buildings |Stationary energy storage for commercial and industrialapplications
424,"Shenzhen Rising Co., Ltd. ","Shenzhen Rising Co., Ltd.",China ,C3.140 ,ees Europe ,,Lithium-based batteries
425,"Shenzhen Skyworth Energy Storage TechnologyCo., Ltd. ","Shenzhen Skyworth Energy Storage TechnologyCo., Ltd.",China ,C3.459 ,ees Europe ,,Inverters | Lithium-based batteries | Stationary energy storagefor residential buildings | Stationary energy storage forcommercial and industrial applications
426,"Shenzhen Yunji New Energy Technology Co.,Ltd. ","Shenzhen Yunji New Energy Technology Co.,Ltd. ",China ,C3.257 ,ees Europe ,,"Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings"
427,"SinoPower (Shenzhen) Co.,Ltd. ","SinoPower (Shenzhen) Co.,Ltd.",China ,C3.374 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
428,TOPA Technology Limited,TOPA Technology Limited ,China ,C3.272,ees Europe ,,"Inverters | Lithium-based batteries | Energy Storage for lowcapacitymobile applications (smartphones, laptops, tablets,etc.) | Stationary energy storage for residential buildings |Stationary energy storage for commercial and industrialapplications"
429,TWS Technology (Anhui) Ltd.,TWS Technology (Anhui) Ltd.,China ,C3.350 ,ees Europe ,,Stationary energy storage for commercial and industrialapplications
430," Vilion (Shenzhen) New Energy Technology Co.,Ltd. ","Vilion (Shenzhen) New Energy Technology Co.,Ltd. ",China ,C3.171 ,ees Europe ,,Other energy storage technologies | Battery managementsystems | Stationary energy storage for commercial andindustrial applications
431,Voltsmile BV,Voltsmile BV ,Netherlands,C3.111 ,ees Europe ,,Lithium-based batteries | Battery housing
432,"Xi'an XYPower Technology Co., Ltd","Xi'an XYPower Technology Co., Ltd ",China,C3.176 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
433,Yigit Akü A.S. ,Yigit Akü A.S. ,Turkiye,C3.479 ,ees Europe ,,"Lead-based batteries | Other battery technologies | Lithiumbasedbatteries | Traction battery and infrastructure | Othercharging systems (portable, inductive, etc.)"
434,"Zhejiang Chint Electrics Co., Ltd.","Zhejiang Chint Electrics Co., Ltd.",China,C3.219,ees Europe ,,"PV systems for residential buildings | EPC contracting/projectdevelopment for energy storage systems | Stationary energystorage for utilities and grid operators | Hydrogen storage,infrastructure, components | DC charging systems"
435,"Zhejiang Xupai Power Technology Co., Ltd.","Zhejiang Xupai Power Technology Co., Ltd,",China,C3.130,ees Europe ,,Other battery technologies | Stationary energy storage forutilities and grid operators | Stationary energy storage forresidential buildings | Uninterruptible power supply systems(UPS) | Stationary energy storage for commercial and industrialapplications
436,Benning Elektrotechnik und Elektronik GmbH &Co. KG ,Benning Elektrotechnik und Elektronik GmbH &Co. KG ,Germany ,C4.130 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
437,Borochi Climate Solutions GmbH ,Borochi Climate Solutions GmbH ,Germany ,C4.157,ees Europe ,,PV systems for residential buildings | Stationary energy storagefor residential buildings | AC charging systems | Power-to-heatand conversion (e.g. heat pumps) | Smart energy managementsystems for buildings and districts
438,Celxpert Energy Corporation,Celxpert Energy Corporation,Taiwan,C4.239 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
439,"CESC New Energy Technology Co.,Ltd. ","CESC New Energy Technology Co.,Ltd.",China ,C4.237 ,ees Europe ,,Inverters | Stationary energy storage for residential buildings
440,"CYG ET CO., LTD.","CYG ET CO., LTD.",China ,C4.175,ees Europe ,,"Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | ICT, software forenergy storage systems | Stationary energy storage forcommercial and industrial applications | DC charging systems"
441,FlexGen,FlexGen,United States ,C4.110 ,ees Europe ,,"Other battery technologies | Lithium-based batteries |Cooling/temperature management of storage systems | Batterymanagement systems | ICT, software for energy storagesystems"
442,"Golen Power Technology Co., Ltd.","Golen Power Technology Co., Ltd.",China ,C4.151,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
443,"Guangzhou Zhiguang Electric Co., Ltd.","Guangzhou Zhiguang Electric Co., Ltd. ",China ,C4.159,ees Europe ,,Lithium-based batteries | Battery management systems |Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
444,"Hichain Electricity (Zhaoqing) Co., Ltd. ","Hichain Electricity (Zhaoqing) Co., Ltd.",China ,C4.137,ees Europe ,,Inverters | Battery Chargers | Battery Materials
445,"Howell Energy Co., Ltd","Howell Energy Co., Ltd ",China,C4.133,ees Europe ,,Other battery technologies | Lithium-based batteries | Batteryrecycling/second use | Redox flow batteries
446,Innopower Industrieakkutechnik GmbH,Innopower Industrieakkutechnik GmbH ,Germany,C4.134,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications | Other electric vehicles (water-,aircraft) | Commercial & special electric vehicles"
447,"Jiangsu Furen Energy Technology Co.,Ltd. ","Jiangsu Furen Energy Technology Co.,Ltd.",China ,C4.139,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
448,Kijo Power (Shenzhen) Co.Ltd ,Kijo Power (Shenzhen) Co.Ltd,China ,C4.136 ,ees Europe ,,Lead-based batteries | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications
449,"Renon Technology (Shenzhen) Co., Ltd","Renon Technology (Shenzhen) Co., Ltd.",China ,C4.119,ees Europe ,,Lithium-based batteries | Battery management systems |Manufacturing equipment for battery moduleproduction/assembly and system installation/assembly |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
450,"Shandong Wina Green Power Technology Co., Ltd.","Shandong Wina Green Power Technology Co., Ltd. ",China ,C4.135 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
451,"Shanghai ZOE Energy Storage Technology Co., Ltd ","Shanghai ZOE Energy Storage Technology Co., Ltd",China ,C4.150 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
452,"Shenzhen CHAM Battery Technology Co., Ltd","Shenzhen CHAM Battery Technology Co., Ltd ",China ,C4.259,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
453," Shenzhen HB Electronic Co., Ltd ","Shenzhen HB Electronic Co., Ltd ",China ,C4.111 ,ees Europe ,,Lithium-based batteries | Other energy storage technologies
454,"Shuangdeng Group Co., Ltd.","Shuangdeng Group Co., Ltd.",China ,C4.219 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
455,"Tianjin Lishen New Energy Technology Co.,Ltd","Tianjin Lishen New Energy Technology Co.,Ltd ",China ,C4.231,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
456,Vidis GmbH,Vidis GmbH ,Germany,C4.160 ,ees Europe ,,"Crystalline modules | Stand-alone systems, off-grid systems |Inverters | Materials and components | Stationary energystorage for utilities and grid operators"
457,Waco Energy Inc.,Waco Energy Inc. ,United States,C4.171 ,ees Europe ,,"Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications | Gridmanagement technologies and services, grid system services,grid Monitoring | Home energy management solutions (HEMS)"
458,Weifang Lishen Power Battery System Co.. Ltd.,Weifang Lishen Power Battery System Co.. Ltd. ,China ,C4.177,ees Europe ,,"Stationary energy storage for utilities and grid operators |Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings | Uninterruptible power supply systems(UPS) | Stationary energy storage for commercial and industrialapplications"
459,"Xi' An Weiguang Energy Technology Co., Ltd. ","Xi' An Weiguang Energy Technology Co., Ltd. ",China ,C4.277,ees Europe ,,"Power electronics for storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications | High power charger,megawatt charging systems"
460,"Xi'an JD Energy Co.,Ltd.","Xi'an JD Energy Co.,Ltd. ",China ,C4.180,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
