No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
30,옥스머티리얼즈 ,"OCSmaterials.Co.,Ltd. ",South Korea,C3.658 ,InterBattery Europe,"실리콘 방열 제품-충진재(Encapsulants), 갭필러(Gap Filler),그리스(Gap Pad),갭패드(Gap Pad) ","Thermal Interface Materials- Encapsulants, Gap Filler, Grease, Gap Pad"
31,미르지엔아이 ,"MIR G&I Co., Ltd.",South Korea,C3.759 ,InterBattery Europe,"드라이룸, 공조설비 ","Dry room, HVAC system"
32,코리아시뮬레이터,"KOREA SIMULATOR Co.,Ltd ",South Korea,C3.656,InterBattery Europe,"양방향 충방전기(360kW, 150kW, 400kW), 베어링 전식 시험기, 모터다이나모 시험기, 모터 액추에이터 성능 시험기, 모터 액추에이터 복합환경 내구성 시험기 ","Bi-directional Charger/Discharger(360kW, 150kW, 400kW), Bearing Electric Corrosion Tester"
33,고려기연 ,"KOREA KIYON CO.,LTD. ",South Korea,C3.751 ,InterBattery Europe,증착기+글로브박스,Evaporation System with Glovebox
34,이온어스,AEONUS,South Korea,C3.739,InterBattery Europe,"인디고 스테이션, 인디고 차지, 모뱃 ","indego STATION, indego CHARGE, Mobatt"
35,이투텍,"E2Technology Co.,LTD.",South Korea,C3.640 ,InterBattery Europe,,1. Secondary Battery Electrodes 2. Secondary Battery Cell 3. ESS 4. Power bank 5. Battery pack for Dron etc. 
36,제이알에너지솔루션,JR ENERGY SOLUTION INC,South Korea,C3.640,InterBattery Europe,,"Electrode, Battery Cell"
37,와이케이신터링,YKS Intering ,South Korea,C3.640,InterBattery Europe,,"Recycled battery raw materials, Cemented carbide jig"
38,에이투비투,A2B2 Corporation ,South Korea,C3.640,InterBattery Europe,,"Insulation/thermal adhesion film for secondary batteries (Cylindrical, Pouch type batteries). And lead tabs"
39,넥스포 ,NexPO ,South Korea,C3.640,InterBattery Europe,,Lead tab
